1:train {'center': 38.40372566352213, 'dim': 6.753599512333772, 'loss': 39.07908542660714}, val :{'center': 3.1834294358323905, 'dim': 4.059129188088624, 'loss': 3.589342360057159}
2:train {'center': 2.08996083004006, 'dim': 4.370299838923486, 'loss': 2.5269908198224487}, val :{'center': 2.4121999807045027, 'dim': 3.6064068195639747, 'loss': 2.7728406676936763}
3:train {'center': 1.9591300263440699, 'dim': 3.819925450612856, 'loss': 2.3411225765527384}, val :{'center': 2.8327752564465856, 'dim': 3.1128536590210953, 'loss': 3.144060624185899}
4:train {'center': 1.9050288195256644, 'dim': 3.404369117366, 'loss': 2.2454657345914173}, val :{'center': 2.657107419748778, 'dim': 3.050272803438126, 'loss': 2.9621347031134575}
5:train {'center': 1.9115471500587258, 'dim': 3.8120460825243008, 'loss': 2.2927517586184623}, val :{'center': 2.3200235298817073, 'dim': 3.226668263205547, 'loss': 2.642690360356314}
6:train {'center': 1.8363710654665397, 'dim': 3.129299870751214, 'loss': 2.149301058239635}, val :{'center': 2.5606574514572857, 'dim': 2.287481455670463, 'loss': 2.7894056024130807}
7:train {'center': 1.4850092580828067, 'dim': 2.5059802081479936, 'loss': 1.7356072862729606}, val :{'center': 1.5526800325579517, 'dim': 2.3139387823429294, 'loss': 1.7840739145491342}
8:train {'center': 1.3138845715947873, 'dim': 2.3965214407661675, 'loss': 1.5535367169006298}, val :{'center': 1.6453049309511334, 'dim': 2.1426086949229965, 'loss': 1.859565801774139}
9:train {'center': 1.2063010371461207, 'dim': 2.1876879050831533, 'loss': 1.4250698295751012}, val :{'center': 1.9982819414498199, 'dim': 2.0203510840118013, 'loss': 2.2003170499981946}
10:train {'center': 1.1362221757016044, 'dim': 2.0285627662687373, 'loss': 1.3390784557472621}, val :{'center': 1.4681681208097979, 'dim': 1.8329173335487523, 'loss': 1.6514598556107722}
11:train {'center': 1.1078331458005177, 'dim': 2.0054837750825154, 'loss': 1.3083815282704878}, val :{'center': 1.3486329376722779, 'dim': 1.9174784487209264, 'loss': 1.540380783497197}
12:train {'center': 1.0692963579671595, 'dim': 1.923389164128698, 'loss': 1.2616352778244224}, val :{'center': 1.261381581039761, 'dim': 1.8397916323629013, 'loss': 1.445360747111209}
13:train {'center': 1.0063280949787217, 'dim': 1.8163237775947045, 'loss': 1.187960474114669}, val :{'center': 1.1504857247488367, 'dim': 1.802354452102811, 'loss': 1.3307211734695223}
14:train {'center': 1.0003856430440405, 'dim': 1.8169961542883442, 'loss': 1.1820852596444806}, val :{'center': 1.5937538970902885, 'dim': 1.9578061646007021, 'loss': 1.7895345157905806}
15:train {'center': 0.968881528276378, 'dim': 1.771813112862256, 'loss': 1.146062842725299}, val :{'center': 1.0562872332734052, 'dim': 1.7239878863908935, 'loss': 1.2286860237281698}
16:train {'center': 0.9318965436564608, 'dim': 1.7310608123478137, 'loss': 1.105002626888734}, val :{'center': 1.3895497469644145, 'dim': 1.8064800583118912, 'loss': 1.5701977549670996}
17:train {'center': 0.919578183958533, 'dim': 1.6911399701868297, 'loss': 1.0886921854779747}, val :{'center': 0.989209996969477, 'dim': 1.7916924938059797, 'loss': 1.1683792483134745}
18:train {'center': 0.8952779706515508, 'dim': 1.6918686532948635, 'loss': 1.064464838689175}, val :{'center': 1.1129014597920484, 'dim': 1.6757920571812366, 'loss': 1.2804806698787563}
19:train {'center': 0.9123175762009544, 'dim': 1.6747734661901292, 'loss': 1.079794925278419}, val :{'center': 0.9798764392551852, 'dim': 1.8272446122727177, 'loss': 1.162600903039884}
20:train {'center': 0.8461651469787901, 'dim': 1.6188613849859104, 'loss': 1.0080512873788396}, val :{'center': 1.404306700467927, 'dim': 1.7469956735512469, 'loss': 1.5790062703742447}
21:train {'center': 0.761441511175046, 'dim': 1.4476242849701328, 'loss': 0.9062039442720526}, val :{'center': 0.8085776247821123, 'dim': 1.539019336884584, 'loss': 0.9624795609652279}
22:train {'center': 0.7372424254868135, 'dim': 1.4236314029749944, 'loss': 0.8796055674168785}, val :{'center': 0.8310409673203166, 'dim': 1.5696815408145388, 'loss': 0.9880091237082199}
23:train {'center': 0.7030306479120357, 'dim': 1.3941700101282877, 'loss': 0.8424476493634163}, val :{'center': 0.8013281957527779, 'dim': 1.5615847718010991, 'loss': 0.9574866749177154}
24:train {'center': 0.6965170684085497, 'dim': 1.380590552930289, 'loss': 0.8345761241193232}, val :{'center': 0.8071224639734234, 'dim': 1.5400259039801392, 'loss': 0.9611250572450469}
25:train {'center': 0.6625609907024529, 'dim': 1.3603144257972628, 'loss': 0.7985924350780012}, val :{'center': 0.7447495735553914, 'dim': 1.4904398081798944, 'loss': 0.8937935567684951}
26:train {'center': 0.6618387904958489, 'dim': 1.3524067371155342, 'loss': 0.7970794659552077}, val :{'center': 0.7977456346644483, 'dim': 1.5247696606487762, 'loss': 0.9502226028925812}
27:train {'center': 0.6512205112089275, 'dim': 1.3277433044032048, 'loss': 0.7839948434610756}, val :{'center': 0.7660346811266268, 'dim': 1.4652038953956066, 'loss': 0.9125550727503814}
28:train {'center': 0.6535676679184819, 'dim': 1.310887408115682, 'loss': 0.7846564102185656}, val :{'center': 0.759554820940426, 'dim': 1.4884479511529207, 'loss': 0.9083996182130928}
29:train {'center': 0.6309323455702222, 'dim': 1.3139011355399062, 'loss': 0.7623224611185035}, val :{'center': 0.7687364427138721, 'dim': 1.4929842764562182, 'loss': 0.9180348719629209}
30:train {'center': 0.6442788536355267, 'dim': 1.2962326989394126, 'loss': 0.7739021256165909}, val :{'center': 0.8559534904309157, 'dim': 1.4821085282593844, 'loss': 1.004164344896777}
31:train {'center': 0.6247994251045069, 'dim': 1.3042189485276423, 'loss': 0.7552213225149571}, val :{'center': 0.7959925192177011, 'dim': 1.4799607769694674, 'loss': 0.9439885992264037}
32:train {'center': 0.620800704948372, 'dim': 1.3073012741116525, 'loss': 0.7515308341905714}, val :{'center': 0.948689104131168, 'dim': 1.4712208373335804, 'loss': 1.095811190386492}
33:train {'center': 0.5949206603520923, 'dim': 1.2736819479314392, 'loss': 0.7222888550844152}, val :{'center': 0.7398049823019835, 'dim': 1.4392519889417077, 'loss': 0.8837301830358572}
34:train {'center': 0.6090536680868822, 'dim': 1.2888422863824027, 'loss': 0.7379378966434942}, val :{'center': 0.7406722506069071, 'dim': 1.5128289739591219, 'loss': 0.8919551506396232}
35:train {'center': 0.5964595233715438, 'dim': 1.2549946214023389, 'loss': 0.721958988815322}, val :{'center': 0.7939031744733431, 'dim': 1.4387732549007668, 'loss': 0.9377805021205957}
36:train {'center': 0.5887812680767891, 'dim': 1.2581766488472705, 'loss': 0.7145989355256043}, val :{'center': 1.0068764212495536, 'dim': 1.4727430031473336, 'loss': 1.1541507238590318}
37:train {'center': 0.5944108787591936, 'dim': 1.229377208603696, 'loss': 0.717348599760412}, val :{'center': 0.7897858689258666, 'dim': 1.4484941765019888, 'loss': 0.9346352880833252}
38:train {'center': 0.5941688838693945, 'dim': 1.2381505908566566, 'loss': 0.717983946012119}, val :{'center': 0.7141767870520588, 'dim': 1.39200210781455, 'loss': 0.8533769994020098}
39:train {'center': 0.5623812637702991, 'dim': 1.1991369388797486, 'loss': 0.6822949597966146}, val :{'center': 0.6959374527827406, 'dim': 1.4100562173186684, 'loss': 0.8369430772346876}
40:train {'center': 0.5797511182653404, 'dim': 1.2220695023249863, 'loss': 0.7019580699479413}, val :{'center': 0.7253674202778144, 'dim': 1.4115435857189502, 'loss': 0.8665217805325702}
41:train {'center': 0.5851635877863293, 'dim': 1.2249699806040264, 'loss': 0.7076605880747036}, val :{'center': 0.6670749856946866, 'dim': 1.4338883794854247, 'loss': 0.8104638263156643}
42:train {'center': 0.5658529862425381, 'dim': 1.2214737583179862, 'loss': 0.6880003662998003}, val :{'center': 0.7102737005553927, 'dim': 1.4267834270610233, 'loss': 0.8529520451028132}
43:train {'center': 0.5639345197749317, 'dim': 1.19549293459166, 'loss': 0.6834838156349293}, val :{'center': 0.682816579087409, 'dim': 1.415419486036075, 'loss': 0.8243585304295591}
44:train {'center': 0.5565056829572236, 'dim': 1.186364937289573, 'loss': 0.6751421780258449}, val :{'center': 0.6881377059916478, 'dim': 1.4437422575853098, 'loss': 0.8325119338956154}
45:train {'center': 0.5509744716366046, 'dim': 1.2046744754952083, 'loss': 0.6714419213100612}, val :{'center': 0.7018194917927946, 'dim': 1.3992030069171413, 'loss': 0.8417397948575073}
46:train {'center': 0.5395156879670254, 'dim': 1.1762880757851195, 'loss': 0.6571444959952931}, val :{'center': 0.6673525492270126, 'dim': 1.4069896016787324, 'loss': 0.8080515120313491}
47:train {'center': 0.5489964283178496, 'dim': 1.1727082509103317, 'loss': 0.6662672556592621}, val :{'center': 0.6192012136659476, 'dim': 1.3713544450912292, 'loss': 0.7563366606801264}
48:train {'center': 0.5439026410162257, 'dim': 1.17989891095269, 'loss': 0.6618925341986176}, val :{'center': 0.6376155817577095, 'dim': 1.414163918047134, 'loss': 0.779031975630123}
49:train {'center': 0.5343918580117722, 'dim': 1.1803502982720397, 'loss': 0.6524268886200467}, val :{'center': 0.8083983257117613, 'dim': 1.4370394923085685, 'loss': 0.9521022764721072}
50:train {'center': 0.5371074236201164, 'dim': 1.1738418896395462, 'loss': 0.6544916139861566}, val :{'center': 0.8366876152246877, 'dim': 1.396963842034461, 'loss': 0.9763840005278769}
51:train {'center': 0.5044620073571497, 'dim': 1.1220534488670808, 'loss': 0.6166673547855381}, val :{'center': 0.6872810383632383, 'dim': 1.3598194324974284, 'loss': 0.8232629837040464}
52:train {'center': 0.48905503884293977, 'dim': 1.1125998239640134, 'loss': 0.6003150226574323}, val :{'center': 0.6279548062099147, 'dim': 1.367399303911905, 'loss': 0.7646947392994452}
