1:train {'center': 2.662143619236594, 'dim': 6.0436641161075375, 'loss': 3.266510050215883}, val :{'center': 3.4485683064433292, 'dim': 4.52388195494104, 'loss': 3.9009565080791146}
2:train {'center': 2.5370257671721683, 'dim': 5.448123347021625, 'loss': 3.081838119053793}, val :{'center': 3.192390385322616, 'dim': 4.442470527446367, 'loss': 3.636637442209695}
3:train {'center': 2.016213076557228, 'dim': 4.470122217418191, 'loss': 2.4632253013923022}, val :{'center': 2.170274904219883, 'dim': 2.933679714646483, 'loss': 2.463642877649243}
4:train {'center': 1.727102286920338, 'dim': 3.409306428627578, 'loss': 2.068032936183754}, val :{'center': 2.55702401143688, 'dim': 2.946234280668542, 'loss': 2.851647442170396}
5:train {'center': 1.6680981972498332, 'dim': 3.3878687370323135, 'loss': 2.0068850793286472}, val :{'center': 2.2799611720324653, 'dim': 2.8044044521018905, 'loss': 2.5604016192469414}
6:train {'center': 1.6704481792083858, 'dim': 3.3751279525244304, 'loss': 2.0079609771150086}, val :{'center': 2.459027790403887, 'dim': 2.766911571327506, 'loss': 2.735718949164862}
7:train {'center': 1.6687106386027273, 'dim': 3.3938167539073043, 'loss': 2.0080923178374426}, val :{'center': 2.2675118643106504, 'dim': 2.7873187999980558, 'loss': 2.546243748413828}
8:train {'center': 1.8159705544616347, 'dim': 3.742008957890311, 'loss': 2.1901714483744352}, val :{'center': 2.001584252378926, 'dim': 2.524758570479749, 'loss': 2.254060112174126}
9:train {'center': 1.457036081408356, 'dim': 2.779201521068068, 'loss': 1.7349562393269018}, val :{'center': 1.982651861150797, 'dim': 2.8304737389557126, 'loss': 2.26569923844774}
10:train {'center': 1.4380154128038036, 'dim': 2.75477248190003, 'loss': 1.7134926654326939}, val :{'center': 1.7506441587642805, 'dim': 2.375825109443347, 'loss': 1.988226676419337}
11:train {'center': 1.3097938494810444, 'dim': 2.4301881934310563, 'loss': 1.5528126747960551}, val :{'center': 1.4869029018896704, 'dim': 2.055553491949672, 'loss': 1.6924582543109006}
12:train {'center': 1.1793221774119562, 'dim': 2.221647351122177, 'loss': 1.4014869164139203}, val :{'center': 1.4861047059640813, 'dim': 1.770818481796237, 'loss': 1.6631865578453715}
13:train {'center': 1.1470504104519073, 'dim': 2.166111201791525, 'loss': 1.3636615341547125}, val :{'center': 1.748668198306164, 'dim': 1.9536921210819225, 'loss': 1.94403741663337}
14:train {'center': 1.082863798525878, 'dim': 2.041267542829898, 'loss': 1.2869905547995026}, val :{'center': 1.1431182210106494, 'dim': 1.7192669874960733, 'loss': 1.315044922290274}
15:train {'center': 0.9762780669783447, 'dim': 1.8836696694771295, 'loss': 1.1646450333540361}, val :{'center': 1.4687393372658852, 'dim': 1.7342652136596237, 'loss': 1.6421658595847244}
16:train {'center': 0.9622013329201148, 'dim': 1.8835166571465198, 'loss': 1.1505530013232679}, val :{'center': 1.3312016554535202, 'dim': 1.9264166523336477, 'loss': 1.5238433241985516}
17:train {'center': 1.0527557417778959, 'dim': 1.9802569093722528, 'loss': 1.2507814394306542}, val :{'center': 1.3997338241864712, 'dim': 2.0057647810471533, 'loss': 1.6003103052960017}
18:train {'center': 1.1459615683601365, 'dim': 2.1802058972690017, 'loss': 1.3639821608098592}, val :{'center': 1.558457692377875, 'dim': 2.272061843294297, 'loss': 1.7856638793644262}
19:train {'center': 1.0306490510988144, 'dim': 1.9512066438422322, 'loss': 1.2257697140644241}, val :{'center': 1.0941088835118202, 'dim': 1.7279889504750812, 'loss': 1.2669077815402168}
20:train {'center': 0.9821235643352977, 'dim': 1.8772509331437768, 'loss': 1.1698486600178446}, val :{'center': 1.1114175419458177, 'dim': 1.6115184077967797, 'loss': 1.2725693849094595}
21:train {'center': 0.8329106658525521, 'dim': 1.6111343341688278, 'loss': 0.994024100093146}, val :{'center': 1.1083680605610484, 'dim': 1.5383400474753242, 'loss': 1.26220206720174}
22:train {'center': 0.7552932910406658, 'dim': 1.5200593622540788, 'loss': 0.9072992270258247}, val :{'center': 1.0142149436717909, 'dim': 1.4947447442406723, 'loss': 1.1636894208747581}
23:train {'center': 0.7513773594616471, 'dim': 1.466640579837755, 'loss': 0.8980414190699638}, val :{'center': 0.8624371217990289, 'dim': 1.5085336757056556, 'loss': 1.0132904908693015}
24:train {'center': 0.7237477378630135, 'dim': 1.4545212645448329, 'loss': 0.8691998667543085}, val :{'center': 0.8844647113517744, 'dim': 1.473011113223708, 'loss': 1.0317658246685384}
25:train {'center': 0.7085945070533515, 'dim': 1.4180041774678367, 'loss': 0.8503949272083459}, val :{'center': 0.816727107564785, 'dim': 1.476627837299927, 'loss': 0.9643898936184149}
26:train {'center': 0.6801985954712082, 'dim': 1.4094586339198238, 'loss': 0.8211444632906374}, val :{'center': 0.8279754253357982, 'dim': 1.4789277157158185, 'loss': 0.9758681995953814}
27:train {'center': 0.6701859334437266, 'dim': 1.4092130165640087, 'loss': 0.8111072364558185}, val :{'center': 0.7993316089123018, 'dim': 1.4438046449381443, 'loss': 0.9437120749446031}
28:train {'center': 0.6628316901409694, 'dim': 1.358992458305066, 'loss': 0.7987309380822356}, val :{'center': 0.8618201578025539, 'dim': 1.4038035335589634, 'loss': 1.00220051341309}
29:train {'center': 0.6516442794259817, 'dim': 1.3488203799655936, 'loss': 0.7865263202483275}, val :{'center': 0.7869484909224894, 'dim': 1.4233561404579418, 'loss': 0.9292841069562787}
30:train {'center': 0.633996650776799, 'dim': 1.3220338827131348, 'loss': 0.7662000416450904}, val :{'center': 0.7589640014538628, 'dim': 1.40524189660785, 'loss': 0.8994881927196648}
31:train {'center': 0.6292186698620699, 'dim': 1.310938841779493, 'loss': 0.7603125574492676}, val :{'center': 0.786341870162506, 'dim': 1.3948999713005896, 'loss': 0.925831869329442}
